miRNA,FC_MT_vs_Con,MT_mean,Con_mean,KeyPathways_Total,항염증·면역조절_Npath,항염증·면역조절_예시KEGG,항산화·미토콘드리아/대사 항상성_Npath,항산화·미토콘드리아/대사 항상성_예시KEGG,혈관신생·내피기능/혈류반응_Npath,혈관신생·내피기능/혈류반응_예시KEGG,신장 섬유화·ECM/EMT 억제_Npath,신장 섬유화·ECM/EMT 억제_예시KEGG,심혈관 합병증/죽상동맥경화·심근보호_Npath,심혈관 합병증/죽상동맥경화·심근보호_예시KEGG,세포사멸·노화/손상 반응_Npath,세포사멸·노화/손상 반응_예시KEGG
hsa-miR-4539,5.36973167993998,3.99596,1.57111,40,9,B cell receptor signaling pathway; Chemokine signaling pathway; Complement and coagulation cascades; Cytokine-cytokine receptor interaction; Leukocyte transendothelial migration; NOD-like receptor signaling pathway,5,AMPK signaling pathway; Autophagy - animal; FoxO signaling pathway; Thermogenesis; mTOR signaling pathway,9,Adherens junction; Apelin signaling pathway; Endocytosis; Focal adhesion; HIF-1 signaling pathway; Rap1 signaling pathway,7,Adherens junction; ECM-receptor interaction; Focal adhesion; Hippo signaling pathway; MAPK signaling pathway; PI3K-Akt signaling pathway,8,Adrenergic signaling in cardiomyocytes; Aldosterone synthesis and secretion; Cholesterol metabolism; Dilated cardiomyopathy; Hypertrophic cardiomyopathy; Platelet activation,2,Apoptosis; Necroptosis
hsa-miR-1237-5p,5.21880682011442,10.01079,7.62707,25,6,Adipocytokine signaling pathway; Antigen processing and presentation; Chemokine signaling pathway; Leukocyte transendothelial migration; Th1 and Th2 cell differentiation; Th17 cell differentiation,7,AMPK signaling pathway; Autophagy - animal; Autophagy - other; Ferroptosis; Oxidative phosphorylation; PPAR signaling pathway,6,Apelin signaling pathway; Endocytosis; Regulation of actin cytoskeleton; Sphingolipid metabolism; Sphingolipid signaling pathway; Tight junction,3,MAPK signaling pathway; PI3K-Akt signaling pathway; TGF-beta signaling pathway,1,Vascular smooth muscle contraction,2,Ferroptosis; p53 signaling pathway
hsa-miR-1915-3p,5.20042669054646,11.36642,8.98779,49,12,Adipocytokine signaling pathway; Chemokine signaling pathway; Cytokine-cytokine receptor interaction; JAK-STAT signaling pathway; Leukocyte transendothelial migration; NF-kappa B signaling pathway,8,Autophagy - animal; Fatty acid degradation; Ferroptosis; Glutathione metabolism; Oxidative phosphorylation; PPAR signaling pathway,11,Adherens junction; Endocytosis; Fluid shear stress and atherosclerosis; Focal adhesion; HIF-1 signaling pathway; Rap1 signaling pathway,8,Adherens junction; Cell adhesion molecules; Focal adhesion; Hippo signaling pathway; MAPK signaling pathway; PI3K-Akt signaling pathway,5,AGE-RAGE signaling pathway in diabetic complications; Adrenergic signaling in cardiomyocytes; Cholesterol metabolism; Fluid shear stress and atherosclerosis; Vascular smooth muscle contraction,5,Apoptosis; Apoptosis - multiple species; Ferroptosis; Necroptosis; p53 signaling pathway
hsa-miR-6869-5p,5.20017437039096,11.63285,9.25429,54,13,Allograft rejection; B cell receptor signaling pathway; Chemokine signaling pathway; Cytokine-cytokine receptor interaction; IL-17 signaling pathway; NF-kappa B signaling pathway,10,AMPK signaling pathway; Autophagy - animal; Autophagy - other; FoxO signaling pathway; Mitophagy - animal; Oxidative phosphorylation,12,Adherens junction; Apelin signaling pathway; Endocytosis; Focal adhesion; HIF-1 signaling pathway; Rap1 signaling pathway,8,Adherens junction; Cell adhesion molecules; Focal adhesion; Hippo signaling pathway; MAPK signaling pathway; PI3K-Akt signaling pathway,7,AGE-RAGE signaling pathway in diabetic complications; Adrenergic signaling in cardiomyocytes; Aldosterone-regulated sodium reabsorption; Cardiac muscle contraction; Cholesterol metabolism; Platelet activation,4,Apoptosis; Cell cycle; Cellular senescence; p53 signaling pathway
hsa-miR-4763-3p,4.76319628012793,8.99629,6.74436,54,12,Antigen processing and presentation; B cell receptor signaling pathway; Chemokine signaling pathway; Complement and coagulation cascades; Cytokine-cytokine receptor interaction; JAK-STAT signaling pathway,6,Autophagy - animal; Ferroptosis; Glutathione metabolism; Mitophagy - animal; Oxidative phosphorylation; mTOR signaling pathway,12,Adherens junction; Apelin signaling pathway; Endocytosis; Fluid shear stress and atherosclerosis; Focal adhesion; Glycosphingolipid biosynthesis - lacto and neolacto series,9,Adherens junction; Cell adhesion molecules; Focal adhesion; Hippo signaling pathway; Hippo signaling pathway - multiple species; MAPK signaling pathway,8,AGE-RAGE signaling pathway in diabetic complications; Adrenergic signaling in cardiomyocytes; Aldosterone synthesis and secretion; Cholesterol metabolism; Fluid shear stress and atherosclerosis; Platelet activation,7,Apoptosis; Apoptosis - multiple species; Cell cycle; Cellular senescence; Ferroptosis; Necroptosis
hsa-miR-8072,4.61269531375107,9.43025,7.22464,27,9,Adipocytokine signaling pathway; B cell receptor signaling pathway; Chemokine signaling pathway; JAK-STAT signaling pathway; Leukocyte transendothelial migration; NF-kappa B signaling pathway,3,Oxidative phosphorylation; PPAR signaling pathway; Thermogenesis,8,Apelin signaling pathway; Fluid shear stress and atherosclerosis; Focal adhesion; Rap1 signaling pathway; Regulation of actin cytoskeleton; Sphingolipid signaling pathway,3,Focal adhesion; MAPK signaling pathway; TGF-beta signaling pathway,4,Adrenergic signaling in cardiomyocytes; Fluid shear stress and atherosclerosis; Platelet activation; Renin secretion,0,
hsa-miR-6879-5p,4.59495266615287,3.8623,1.66225,29,4,Complement and coagulation cascades; IL-17 signaling pathway; Leukocyte transendothelial migration; NOD-like receptor signaling pathway,5,Autophagy - animal; FoxO signaling pathway; Oxidative phosphorylation; Peroxisome; mTOR signaling pathway,6,Adherens junction; Endocytosis; Fluid shear stress and atherosclerosis; HIF-1 signaling pathway; Tight junction; cGMP-PKG signaling pathway,6,Adherens junction; Cell adhesion molecules; Hippo signaling pathway; PI3K-Akt signaling pathway; TGF-beta signaling pathway; Wnt signaling pathway,6,AGE-RAGE signaling pathway in diabetic complications; Adrenergic signaling in cardiomyocytes; Aldosterone synthesis and secretion; Aldosterone-regulated sodium reabsorption; Cardiac muscle contraction; Fluid shear stress and atherosclerosis,2,Apoptosis; Cell cycle
hsa-miR-1228-5p,4.58578907762858,8.32277,6.1256,18,6,Cytokine-cytokine receptor interaction; JAK-STAT signaling pathway; Leukocyte transendothelial migration; NOD-like receptor signaling pathway; Natural killer cell mediated cytotoxicity; Toll-like receptor signaling pathway,1,Thermogenesis,2,Endocytosis; cGMP-PKG signaling pathway,2,Hippo signaling pathway; PI3K-Akt signaling pathway,3,Aldosterone synthesis and secretion; Renin secretion; Vascular smooth muscle contraction,4,Apoptosis; Apoptosis - multiple species; Necroptosis; p53 signaling pathway
hsa-mir-5703,4.07223268917232,3.73369,1.70787,0,0,,0,,0,,0,,0,,0,
hsa-miR-6727-5p,4.06123919431388,10.67682,8.6549,14,0,,4,AMPK signaling pathway; Autophagy - animal; FoxO signaling pathway; mTOR signaling pathway,6,Adherens junction; Endocytosis; Focal adhesion; HIF-1 signaling pathway; Rap1 signaling pathway; Regulation of actin cytoskeleton,4,Adherens junction; Focal adhesion; MAPK signaling pathway; PI3K-Akt signaling pathway,0,,0,
hsa-miR-4488,4.04544946351402,10.42436,8.40806,25,6,Adipocytokine signaling pathway; Antigen processing and presentation; Chemokine signaling pathway; Leukocyte transendothelial migration; Th1 and Th2 cell differentiation; Th17 cell differentiation,7,AMPK signaling pathway; Autophagy - animal; Autophagy - other; Ferroptosis; Oxidative phosphorylation; PPAR signaling pathway,6,Apelin signaling pathway; Endocytosis; Regulation of actin cytoskeleton; Sphingolipid metabolism; Sphingolipid signaling pathway; Tight junction,3,MAPK signaling pathway; PI3K-Akt signaling pathway; TGF-beta signaling pathway,1,Vascular smooth muscle contraction,2,Ferroptosis; p53 signaling pathway
hsa-miR-762,3.76335660089388,9.99103,8.07901,44,8,Allograft rejection; Antigen processing and presentation; B cell receptor signaling pathway; Chemokine signaling pathway; Complement and coagulation cascades; Leukocyte transendothelial migration,7,Ferroptosis; FoxO signaling pathway; Glutathione metabolism; Oxidative phosphorylation; PPAR signaling pathway; Peroxisome,9,Adherens junction; Endocytosis; Fluid shear stress and atherosclerosis; Focal adhesion; HIF-1 signaling pathway; Rap1 signaling pathway,7,Adherens junction; Cell adhesion molecules; Focal adhesion; Hippo signaling pathway; Hippo signaling pathway - multiple species; MAPK signaling pathway,9,Adrenergic signaling in cardiomyocytes; Aldosterone synthesis and secretion; Cardiac muscle contraction; Dilated cardiomyopathy; Fluid shear stress and atherosclerosis; Hypertrophic cardiomyopathy,4,Cell cycle; Cellular senescence; Ferroptosis; p53 signaling pathway
hsa-miR-7704,3.54906746705357,11.32766,9.50022,17,11,Allograft rejection; Antigen processing and presentation; Cytokine-cytokine receptor interaction; Inflammatory bowel disease; JAK-STAT signaling pathway; Leukocyte transendothelial migration,0,,2,Rap1 signaling pathway; Regulation of actin cytoskeleton,3,Cell adhesion molecules; MAPK signaling pathway; PI3K-Akt signaling pathway,0,,1,Necroptosis
hsa-miR-6729-5p,3.49085395285085,11.17902,9.37544,23,7,Complement and coagulation cascades; Cytokine-cytokine receptor interaction; JAK-STAT signaling pathway; Leukocyte transendothelial migration; NOD-like receptor signaling pathway; Natural killer cell mediated cytotoxicity,4,Fatty acid degradation; FoxO signaling pathway; PPAR signaling pathway; Peroxisome,4,Endocytosis; Glycosphingolipid biosynthesis - globo and isoglobo series; Glycosphingolipid biosynthesis - lacto and neolacto series; Tight junction,3,Hippo signaling pathway; Hippo signaling pathway - multiple species; PI3K-Akt signaling pathway,1,Cholesterol metabolism,4,Cell cycle; Cellular senescence; Necroptosis; p53 signaling pathway
hsa-miR-4787-5p,3.41527085756498,11.63157,9.85957,8,0,,0,,5,Adherens junction; Endocytosis; Focal adhesion; HIF-1 signaling pathway; Regulation of actin cytoskeleton,3,Adherens junction; Cell adhesion molecules; Focal adhesion,0,,0,
hsa-miR-6776-5p,3.15290128277743,2.92467,1.26799,40,5,Chemokine signaling pathway; Complement and coagulation cascades; NF-kappa B signaling pathway; NOD-like receptor signaling pathway; TNF signaling pathway,10,AMPK signaling pathway; Autophagy - animal; Fatty acid degradation; Ferroptosis; Glutathione metabolism; Mitophagy - animal,10,Apelin signaling pathway; Endocytosis; Focal adhesion; Glycosphingolipid biosynthesis - ganglio series; HIF-1 signaling pathway; Rap1 signaling pathway,4,Focal adhesion; Hippo signaling pathway; MAPK signaling pathway; PI3K-Akt signaling pathway,6,Adrenergic signaling in cardiomyocytes; Cardiac muscle contraction; Dilated cardiomyopathy; Hypertrophic cardiomyopathy; Platelet activation; Vascular smooth muscle contraction,5,Apoptosis; Apoptosis - multiple species; Ferroptosis; Necroptosis; p53 signaling pathway
hsa-miR-6088,3.13479260759554,10.72783,9.07946,54,16,Antigen processing and presentation; B cell receptor signaling pathway; Chemokine signaling pathway; Complement and coagulation cascades; Cytokine-cytokine receptor interaction; IL-17 signaling pathway,6,AMPK signaling pathway; Autophagy - animal; Fatty acid degradation; FoxO signaling pathway; Thermogenesis; mTOR signaling pathway,12,Adherens junction; Apelin signaling pathway; Endocytosis; Fluid shear stress and atherosclerosis; Focal adhesion; HIF-1 signaling pathway,6,Adherens junction; Focal adhesion; Hippo signaling pathway; MAPK signaling pathway; PI3K-Akt signaling pathway; TGF-beta signaling pathway,8,AGE-RAGE signaling pathway in diabetic complications; Adrenergic signaling in cardiomyocytes; Aldosterone synthesis and secretion; Aldosterone-regulated sodium reabsorption; Fluid shear stress and atherosclerosis; Platelet activation,6,Apoptosis; Apoptosis - multiple species; Cell cycle; Cellular senescence; Necroptosis; p53 signaling pathway
hsa-miR-4530,3.10344375587197,7.75947,6.1256,48,14,Adipocytokine signaling pathway; Antigen processing and presentation; B cell receptor signaling pathway; Complement and coagulation cascades; Cytokine-cytokine receptor interaction; IL-17 signaling pathway,5,FoxO signaling pathway; Mitophagy - animal; Oxidative phosphorylation; Peroxisome; mTOR signaling pathway,10,Adherens junction; Apelin signaling pathway; Fluid shear stress and atherosclerosis; Focal adhesion; Glycosphingolipid biosynthesis - lacto and neolacto series; Rap1 signaling pathway,9,Adherens junction; Cell adhesion molecules; Focal adhesion; Hippo signaling pathway; Hippo signaling pathway - multiple species; MAPK signaling pathway,6,Adrenergic signaling in cardiomyocytes; Aldosterone synthesis and secretion; Fluid shear stress and atherosclerosis; Platelet activation; Renin secretion; Vascular smooth muscle contraction,4,Apoptosis; Cell cycle; Cellular senescence; Necroptosis
hsa-miR-4507,2.92350690741727,6.31778,4.77008,8,3,Antigen processing and presentation; Complement and coagulation cascades; NOD-like receptor signaling pathway,0,,1,Endocytosis,0,,0,,4,Apoptosis; Apoptosis - multiple species; Cellular senescence; Necroptosis
hsa-mir-3960,2.81274740659727,3.09813,1.60615,0,0,,0,,0,,0,,0,,0,
hsa-miR-4463,2.76145764567732,7.82773,6.3623,23,5,Antigen processing and presentation; Cytokine-cytokine receptor interaction; JAK-STAT signaling pathway; Natural killer cell mediated cytotoxicity; Th17 cell differentiation,6,Autophagy - animal; FoxO signaling pathway; Glutathione metabolism; Mitophagy - animal; Oxidative phosphorylation; Thermogenesis,4,Endocytosis; Fluid shear stress and atherosclerosis; Focal adhesion; HIF-1 signaling pathway,4,Focal adhesion; Hippo signaling pathway; PI3K-Akt signaling pathway; TGF-beta signaling pathway,3,AGE-RAGE signaling pathway in diabetic complications; Cardiac muscle contraction; Fluid shear stress and atherosclerosis,1,Cell cycle
hsa-miR-1908-5p,2.59186396537241,9.38626,8.01227,37,9,Antigen processing and presentation; B cell receptor signaling pathway; Chemokine signaling pathway; IL-17 signaling pathway; JAK-STAT signaling pathway; Leukocyte transendothelial migration,5,AMPK signaling pathway; Autophagy - animal; FoxO signaling pathway; Thermogenesis; mTOR signaling pathway,12,Apelin signaling pathway; Endocytosis; Fluid shear stress and atherosclerosis; Focal adhesion; Glycosphingolipid biosynthesis - ganglio series; Glycosphingolipid biosynthesis - globo and isoglobo series,5,ECM-receptor interaction; Focal adhesion; MAPK signaling pathway; PI3K-Akt signaling pathway; TGF-beta signaling pathway,5,Adrenergic signaling in cardiomyocytes; Cholesterol metabolism; Fluid shear stress and atherosclerosis; Platelet activation; Renin secretion,1,p53 signaling pathway
hsa-miR-4535,2.4809282290395,2.13956,0.82868,15,0,,4,AMPK signaling pathway; Autophagy - animal; FoxO signaling pathway; mTOR signaling pathway,5,Adherens junction; Endocytosis; Focal adhesion; HIF-1 signaling pathway; Rap1 signaling pathway,5,Adherens junction; Focal adhesion; MAPK signaling pathway; PI3K-Akt signaling pathway; Wnt signaling pathway,0,,1,Cell cycle
hsa-miR-4665-5p,2.48053274143178,4.92058,3.60993,49,8,Allograft rejection; Antigen processing and presentation; Cytokine-cytokine receptor interaction; IL-17 signaling pathway; Leukocyte transendothelial migration; NF-kappa B signaling pathway,8,AMPK signaling pathway; Autophagy - animal; Ferroptosis; FoxO signaling pathway; Mitophagy - animal; PPAR signaling pathway,10,Adherens junction; Apelin signaling pathway; Endocytosis; Fluid shear stress and atherosclerosis; Focal adhesion; HIF-1 signaling pathway,9,Adherens junction; Cell adhesion molecules; ECM-receptor interaction; Focal adhesion; Hippo signaling pathway; MAPK signaling pathway,9,AGE-RAGE signaling pathway in diabetic complications; Adrenergic signaling in cardiomyocytes; Aldosterone synthesis and secretion; Dilated cardiomyopathy; Fluid shear stress and atherosclerosis; Hypertrophic cardiomyopathy,5,Apoptosis; Cellular senescence; Ferroptosis; Necroptosis; p53 signaling pathway
hsa-miR-3613-5p,2.34415830386008,2.56631,1.33724,23,6,Adipocytokine signaling pathway; Cytokine-cytokine receptor interaction; Inflammatory bowel disease; Leukocyte transendothelial migration; NF-kappa B signaling pathway; Th17 cell differentiation,6,AMPK signaling pathway; Autophagy - animal; FoxO signaling pathway; Mitophagy - animal; Thermogenesis; mTOR signaling pathway,3,Apelin signaling pathway; Fluid shear stress and atherosclerosis; Tight junction,2,Cell adhesion molecules; PI3K-Akt signaling pathway,2,Fluid shear stress and atherosclerosis; Hypertrophic cardiomyopathy,4,Apoptosis; Cell cycle; Cellular senescence; p53 signaling pathway
hsa-miR-6778-5p,2.32462821503623,2.98648,1.76948,55,10,Adipocytokine signaling pathway; Chemokine signaling pathway; Cytokine-cytokine receptor interaction; JAK-STAT signaling pathway; Leukocyte transendothelial migration; NOD-like receptor signaling pathway,8,AMPK signaling pathway; Autophagy - animal; Fatty acid degradation; Ferroptosis; FoxO signaling pathway; Mitophagy - animal,11,Adherens junction; Apelin signaling pathway; Endocytosis; Fluid shear stress and atherosclerosis; Focal adhesion; HIF-1 signaling pathway,9,Adherens junction; Cell adhesion molecules; Focal adhesion; Hippo signaling pathway; Hippo signaling pathway - multiple species; MAPK signaling pathway,11,Adrenergic signaling in cardiomyocytes; Aldosterone synthesis and secretion; Aldosterone-regulated sodium reabsorption; Cardiac muscle contraction; Cholesterol metabolism; Dilated cardiomyopathy,6,Apoptosis; Cell cycle; Cellular senescence; Ferroptosis; Necroptosis; p53 signaling pathway
hsa-miR-6803-5p,2.31445096922397,9.13362,7.92295,38,4,Chemokine signaling pathway; Cytokine-cytokine receptor interaction; Leukocyte transendothelial migration; Th1 and Th2 cell differentiation,7,AMPK signaling pathway; Autophagy - animal; Ferroptosis; FoxO signaling pathway; Mitophagy - animal; Thermogenesis,9,Adherens junction; Endocytosis; Fluid shear stress and atherosclerosis; Focal adhesion; HIF-1 signaling pathway; Rap1 signaling pathway,7,Adherens junction; ECM-receptor interaction; Focal adhesion; Hippo signaling pathway; MAPK signaling pathway; PI3K-Akt signaling pathway,6,AGE-RAGE signaling pathway in diabetic complications; Dilated cardiomyopathy; Fluid shear stress and atherosclerosis; Hypertrophic cardiomyopathy; Platelet activation; Vascular smooth muscle contraction,5,Apoptosis; Cell cycle; Cellular senescence; Ferroptosis; p53 signaling pathway
hsa-miR-4508,2.26157838529415,9.38051,8.20318,31,6,B cell receptor signaling pathway; Chemokine signaling pathway; Leukocyte transendothelial migration; NOD-like receptor signaling pathway; Natural killer cell mediated cytotoxicity; T cell receptor signaling pathway,6,AMPK signaling pathway; Autophagy - animal; FoxO signaling pathway; Peroxisome; Thermogenesis; mTOR signaling pathway,10,Adherens junction; Apelin signaling pathway; Endocytosis; Focal adhesion; HIF-1 signaling pathway; Rap1 signaling pathway,4,Adherens junction; Focal adhesion; MAPK signaling pathway; PI3K-Akt signaling pathway,5,Adrenergic signaling in cardiomyocytes; Aldosterone synthesis and secretion; Dilated cardiomyopathy; Platelet activation; Vascular smooth muscle contraction,0,
hsa-miR-5787,2.25078772409328,10.64329,9.47286,50,11,Adipocytokine signaling pathway; Antigen processing and presentation; Cytokine-cytokine receptor interaction; JAK-STAT signaling pathway; Leukocyte transendothelial migration; NOD-like receptor signaling pathway,8,Autophagy - animal; FoxO signaling pathway; Mitophagy - animal; Oxidative phosphorylation; PPAR signaling pathway; Peroxisome,10,Adherens junction; Endocytosis; Focal adhesion; HIF-1 signaling pathway; Rap1 signaling pathway; Regulation of actin cytoskeleton,8,Adherens junction; Cell adhesion molecules; Focal adhesion; Hippo signaling pathway; Hippo signaling pathway - multiple species; MAPK signaling pathway,9,AGE-RAGE signaling pathway in diabetic complications; Adrenergic signaling in cardiomyocytes; Aldosterone synthesis and secretion; Aldosterone-regulated sodium reabsorption; Cardiac muscle contraction; Dilated cardiomyopathy,4,Apoptosis; Cell cycle; Cellular senescence; p53 signaling pathway
hsa-miR-6087,2.20381023175322,11.16859,10.02859,46,7,Adipocytokine signaling pathway; Chemokine signaling pathway; Cytokine-cytokine receptor interaction; JAK-STAT signaling pathway; Leukocyte transendothelial migration; NOD-like receptor signaling pathway,8,AMPK signaling pathway; Autophagy - animal; FoxO signaling pathway; Oxidative phosphorylation; PPAR signaling pathway; Peroxisome,10,Apelin signaling pathway; Endocytosis; Fluid shear stress and atherosclerosis; Focal adhesion; HIF-1 signaling pathway; Rap1 signaling pathway,7,Cell adhesion molecules; Focal adhesion; Hippo signaling pathway; Hippo signaling pathway - multiple species; MAPK signaling pathway; PI3K-Akt signaling pathway,10,Adrenergic signaling in cardiomyocytes; Aldosterone synthesis and secretion; Aldosterone-regulated sodium reabsorption; Cardiac muscle contraction; Dilated cardiomyopathy; Fluid shear stress and atherosclerosis,4,Apoptosis; Apoptosis - multiple species; Cellular senescence; p53 signaling pathway
hsa-miR-1207-5p,2.17677154084578,5.89227,4.77008,54,12,Antigen processing and presentation; B cell receptor signaling pathway; Chemokine signaling pathway; Complement and coagulation cascades; Cytokine-cytokine receptor interaction; JAK-STAT signaling pathway,6,Autophagy - animal; Ferroptosis; Glutathione metabolism; Mitophagy - animal; Oxidative phosphorylation; mTOR signaling pathway,12,Adherens junction; Apelin signaling pathway; Endocytosis; Fluid shear stress and atherosclerosis; Focal adhesion; Glycosphingolipid biosynthesis - lacto and neolacto series,9,Adherens junction; Cell adhesion molecules; Focal adhesion; Hippo signaling pathway; Hippo signaling pathway - multiple species; MAPK signaling pathway,8,AGE-RAGE signaling pathway in diabetic complications; Adrenergic signaling in cardiomyocytes; Aldosterone synthesis and secretion; Cholesterol metabolism; Fluid shear stress and atherosclerosis; Platelet activation,7,Apoptosis; Apoptosis - multiple species; Cell cycle; Cellular senescence; Ferroptosis; Necroptosis
hsa-miR-638,2.03281651318383,10.85653,9.83305,14,5,Antigen processing and presentation; Cytokine-cytokine receptor interaction; T cell receptor signaling pathway; Th1 and Th2 cell differentiation; Th17 cell differentiation,4,FoxO signaling pathway; Peroxisome; Thermogenesis; mTOR signaling pathway,1,HIF-1 signaling pathway,3,Cell adhesion molecules; Hippo signaling pathway; MAPK signaling pathway,0,,1,Cell cycle
